CLAS physics database search results
Measurement E32M2
g10 CLAS experiment
Wei Chen
0

theta	sqrt(s)	s7dsigma/dt	Data errors	Systematic errors
deg	GeV	10^7 GeV14 nb/GeV2	10^7 GeV14 nb/GeV2	10^7 GeV14 nb/GeV2
95	2.00302	2.74198	0.31774	0.01641
95	1.97328	2.51154	0.29014	0.01755
95	1.94838	2.3984	0.27629	0.01623
95	1.9237	2.12511	0.24422	0.01409
95	1.89739	1.86324	0.21364	0.01208
95	1.87181	1.56478	0.17908	0.00988
95	1.84598	1.30506	0.14913	0.00813
95	1.81971	1.15765	0.13211	0.00699
95	1.79262	1.06315	0.12121	0.00627
95	1.76512	1.02872	0.11721	0.00589
95	1.73766	0.99194	0.11297	0.00552
95	1.70933	0.99949	0.11384	0.00546
95	1.68294	0.96463	0.1099	0.00519
100	2.74178	2.79652	0.38393	0.06076
100	2.69982	2.72176	0.3655	0.04302
100	2.65465	2.73036	0.36077	0.03565
100	2.61032	3.45039	0.45004	0.03837
100	2.56311	3.66354	0.4723	0.03626
100	2.51981	4.09887	0.52412	0.04678
100	2.48857	4.23066	0.53693	0.04293
100	2.45426	4.3421	0.54719	0.04191
100	2.41905	4.48678	0.56147	0.04131
100	2.38339	4.73029	0.58796	0.04088
100	2.34726	4.81189	0.59407	0.0393
100	2.31009	4.51997	0.55385	0.03443
100	2.26116	4.49978	0.5461	0.03505
100	2.23036	4.16794	0.50257	0.03079
100	2.19917	4.02298	0.48189	0.02815
100	2.16787	3.95627	0.47087	0.02639
100	2.1352	3.60597	0.42644	0.02287
100	2.10574	3.25525	0.38279	0.01977
100	2.07106	2.8698	0.33554	0.0168
100	2.03701	2.52333	0.29353	0.01434
100	2.00302	2.23668	0.25901	0.01225
100	1.97328	2.09324	0.24166	0.01342
100	1.94838	1.95588	0.2252	0.01226
100	1.9237	1.76391	0.20262	0.01092
100	1.89739	1.60284	0.18373	0.00967
100	1.87181	1.35193	0.1547	0.00806
100	1.84598	1.14342	0.13064	0.00671
100	1.81971	1.00574	0.11477	0.00579
100	1.79262	0.93389	0.10647	0.00531
100	1.76512	0.98642	0.11239	0.00554
100	1.73766	1.06691	0.12152	0.00593
100	1.70933	1.12979	0.12869	0.00619
100	1.68294	1.1392	0.12981	0.00613
105	2.74178	3.6727	0.50559	0.0859
105	2.69982	3.83734	0.51645	0.06846
105	2.65465	3.58037	0.47379	0.05307
105	2.61032	4.12858	0.53911	0.05209
105	2.56311	4.25159	0.5487	0.04598
105	2.51981	4.47287	0.57266	0.05381
105	2.48857	4.54363	0.57749	0.04691
105	2.45426	4.47888	0.56511	0.04217
105	2.41905	4.54364	0.56913	0.03972
105	2.38339	4.58705	0.57013	0.03689
105	2.34726	4.51743	0.55721	0.03419
105	2.31009	4.10982	0.50286	0.02915
105	2.26116	4.22772	0.51242	0.03119
105	2.23036	4.09032	0.49268	0.02907
105	2.19917	3.8791	0.46418	0.02653
105	2.16787	3.73378	0.4442	0.02471
105	2.1352	3.27153	0.38682	0.02078
105	2.10574	2.92769	0.3443	0.01791
105	2.07106	2.51218	0.29381	0.01477
105	2.03701	2.18817	0.2546	0.01234
105	2.00302	1.97813	0.22909	0.01069
105	1.97328	1.88197	0.21727	0.01186
105	1.94838	1.77917	0.20485	0.0109
105	1.9237	1.61819	0.18588	0.00967
105	1.89739	1.41231	0.16187	0.00823
105	1.87181	1.20209	0.13753	0.00686
105	1.84598	1.01975	0.11649	0.00575
105	1.81971	0.90626	0.1034	0.005
105	1.79262	0.85191	0.09711	0.00462
105	1.76512	0.93155	0.10612	0.005
105	1.73766	1.08022	0.12302	0.00574
105	1.70933	1.25131	0.14251	0.00659
105	1.68294	1.29161	0.14715	0.00673
110	2.74178	5.10381	0.70183	0.1195
110	2.69982	4.46246	0.59996	0.07554
110	2.65465	4.44929	0.5881	0.0606
110	2.61032	4.66239	0.60837	0.05437
110	2.56311	4.69934	0.60611	0.04801
110	2.51981	4.57735	0.58567	0.053
110	2.48857	4.72086	0.5998	0.04845
110	2.45426	4.45889	0.56243	0.04224
110	2.41905	4.39281	0.55007	0.03906
110	2.38339	4.35718	0.54163	0.03595
110	2.34726	4.44964	0.54922	0.03473
110	2.31009	4.20672	0.51517	0.03057
110	2.26116	3.9559	0.47957	0.02965
110	2.23036	3.73265	0.44971	0.02662
110	2.19917	3.41758	0.40914	0.02339
110	2.16787	3.22621	0.38387	0.0212
110	2.1352	2.81468	0.33278	0.01766
110	2.10574	2.6128	0.3073	0.01576
110	2.07106	2.33347	0.27292	0.01359
110	2.03701	2.02216	0.23529	0.01131
110	2.00302	1.86107	0.21555	0.01001
110	1.97328	1.77455	0.20487	0.01103
110	1.94838	1.63832	0.18862	0.00993
110	1.9237	1.44613	0.1661	0.00852
110	1.89739	1.23129	0.14112	0.00713
110	1.87181	0.99157	0.11343	0.00563
110	1.84598	0.80175	0.09158	0.00453
110	1.81971	0.72207	0.08238	0.004
110	1.79262	0.70383	0.08023	0.00385
110	1.76512	0.79468	0.09052	0.00427
110	1.73766	0.9327	0.10621	0.00493
110	1.70933	1.12031	0.12758	0.00583
110	1.68294	1.19968	0.13666	0.00616
115	2.74178	6.42865	0.88526	0.15569
115	2.69982	5.69041	0.76544	0.09933
115	2.65465	5.37098	0.71046	0.07772
115	2.61032	5.70342	0.74455	0.06975
115	2.56311	5.29391	0.68305	0.05641
115	2.51981	5.26785	0.67435	0.0621
115	2.48857	4.88203	0.62043	0.05071
115	2.45426	5.01587	0.63288	0.04822
115	2.41905	4.77209	0.59781	0.04268
115	2.38339	4.69726	0.58406	0.03893
115	2.34726	4.52594	0.55865	0.03561
115	2.31009	4.04411	0.4952	0.02971
115	2.26116	3.65272	0.44295	0.02777
115	2.23036	3.34818	0.40337	0.02418
115	2.19917	3.06598	0.36702	0.02128
115	2.16787	2.83309	0.33701	0.0188
115	2.1352	2.51993	0.29794	0.01602
115	2.10574	2.25265	0.26486	0.01373
115	2.07106	1.97497	0.23088	0.01163
115	2.03701	1.68251	0.19568	0.00953
115	2.00302	1.5816	0.18312	0.00866
115	1.97328	1.47951	0.17078	0.00947
115	1.94838	1.3486	0.15525	0.00848
115	1.9237	1.18174	0.13573	0.0073
115	1.89739	0.9819	0.11254	0.006
115	1.87181	0.76062	0.08703	0.00459
115	1.84598	0.6174	0.07054	0.00367
115	1.81971	0.52651	0.06008	0.00308
115	1.79262	0.55055	0.06276	0.00316
115	1.76512	0.65461	0.07458	0.00368
115	1.73766	0.82276	0.09371	0.00456
115	1.70933	1.05265	0.1199	0.00573
115	1.68294	1.21564	0.13851	0.00651
